I'm 19.	Tengo diecinueve.
You're not that scary.	No eres tan aterrador.
You're probably tired.	Probablemente estás cansado.
You're probably wrong.	Probablemente estés equivocado.
You're pulling my leg.	Me estás tomando el pelo.
You're smirking again.	Te estás sonriendo de nuevo.
You're so predictable.	Eres tan predecible.
You're something else.	Eres la monda.
You're something else.	Eres tremendo.
You're something else.	Eres la bomba.
You're something else.	Eres la leche.
You're something else.	Menudo bicho estás hecho.
You're still involved.	Todavía estás involucrado.
You're still underage.	Todavía eres menor de edad.
You're taller than me.	Eres más alto que yo.
You're too idealistic.	Eres demasiado idealista.
You're too inflexible.	Eres muy poco flexible.
You're too inflexible.	Eres demasiado inflexible.
You're too old for me.	Eres demasiado mayor para mí.
You're very beautiful.	Estás muy linda.
You're very beautiful.	Eres muy bonita.
You're very beautiful.	Eres hermosísima.
You're very close now.	Estás muy cerca ahora.
You're very observant.	Eres muy observador.
You're very skeptical.	Sos muy escéptico.
You're very skeptical.	Sos muy escéptica.
You're very skeptical.	Eres muy escéptico.
You're very skeptical.	Eres muy escéptica.
You're very wise, Tom.	Eres muy sabio, Tomás.
He is Italian by birth.	Es italiano de nacimiento.
He is a capable lawyer.	Él es un abogado capaz.
He is a careful player.	Es un jugador cuidadoso.
He is a good violinist.	Él es un buen violinista.
He is a man of ability.	Él es un hombre talentoso.
He is a strange person.	Él es un tipo raro.
He is a true gentleman.	Él es un caballero de verdad.
He is a very smart boy.	Él es un joven muy inteligente.
He is afraid of snakes.	A él le dan miedo las serpientes.
He is allergic to dust.	Él es alérgico al polvo.
He is always on the go.	Él siempre anda de un lado para otro.
He is being kind today.	Hoy está siendo amable.
He is blind in one eye.	Él es ciego de un ojo.
He is bound to succeed.	Él está destinado a triunfar.
He is far from perfect.	Él está lejos de ser perfecto.
He is fluent in French.	Habla un francés fluido.
He is fond of painting.	Él es aficionado a pintar.
He is fond of swimming.	Le gusta nadar.
He is guilty of murder.	Él es culpable de asesinato.
He is having lunch now.	Ahora mismo está comiendo.
He is having lunch now.	Está almorzando ahora.
He is in an angry mood.	Él está de mal humor.
He is in great trouble.	Él está metido en un gran lío.
He is on another phone.	Él está con otro teléfono.
He is playing outdoors.	Está jugando fuera.
He is poor, but honest.	Él es pobre pero honesto.
He is popular among us.	Él es popular entre nosotros.
He is proud of his son.	Él está orgulloso de su hijo.
He is riding a bicycle.	El va en bicicleta.
He is terrible at math.	Él es pésimo en matemáticas.
He is tired of reading.	Está cansado de leer.
He's a baseball player.	Es un jugador de béisbol.
He's a baseball player.	Es jugador de béisbol.
He's a baseball player.	Es beisbolista.
He's a devout Catholic.	Él es un cristiano devoto.
He's a junior employee.	Él es cadete.
He's a junior employee.	Él es un empleado joven.
He's a man of his word.	Es un hombre que siempre cumple sus promesas.
He's a singing teacher.	Es profesor de canto.
He's a talented writer.	Él es un escritor talentoso.
He's addicted to drugs.	Es adicto a las drogas.
He's as blind as a bat.	Está ciego como un topo.
He's at home right now.	Está en casa ahora.
He's got a thick beard.	Él tiene una barba espesa.
He's here to spy on us.	Está aquí para espiarnos.
He's leaning on a cane.	Se apoya en un bastón.
He's not a boy anymore.	Él ya no es un niño.
He's not a boy anymore.	Ya no es un niño.
He's not a good person.	Él no es una buena persona.
He's not a good person.	No es una buena persona.
He's probably sleeping.	Probablemente estará durmiendo.
He's probably sleeping.	Probablemente esté durmiendo.
He's putting on a coat.	Se está poniendo un abrigo.
He's really a good guy.	En realidad él es un buen tipo.
He's rich and powerful.	Él es rico y poderoso.
He's smarter than them.	Él es más inteligente que ellos.
He's stalling for time.	Él nos está entreteniendo.
He's stronger than you.	Él es más fuerte que tú.
He's stronger than you.	Él es más fuerte que vos.
He's stronger than you.	Él es más fuerte que ustedes.
He's the one, isn't he?	Es él, ¿no?
He's the one, isn't he?	Es él, ¿verdad?
I am a 22 year-old man.	Soy un hombre de veintidós años.
I am a college student.	Soy universitario.
I am a very sad person.	Soy una persona muy melancólica.
I am afraid of heights.	Le temo a las alturas.
I am ashamed of myself.	Me avergüenzo de mí mismo.
I am ashamed of myself.	Tengo vergüenza de mí mismo.
I am aware of the fact.	Estoy informado del hecho.
I am brushing my teeth.	Me estoy cepillando los dientes.
I am calling my father.	Estoy llamando a mi padre.
I am doing my homework.	Estoy haciendo mi tarea.
I am downloading books.	Estoy bajando libros.
I am downloading books.	Estoy descargando libros.
I am eating a cucumber.	Estoy comiendo un pepino.
I am eating a doughnut.	Me estoy comiendo una rosquilla.
I am eating a sandwich.	Me estoy comiendo un sándwich.
I am going to miss you.	Te voy a extrañar.
I am going to miss you.	Te echaré de menos.
I am going to the shop.	Me voy a la tienda.
I am in touch with him.	Estoy en contacto con él.
I am learning Japanese.	Estoy aprendiendo japonés.
I am leaving next week.	Me voy la semana que viene.
I am lighting my cigar.	Estoy prendiendo mi cigarro.
I am memorizing a text.	Me estoy memorizando un texto.
I am moving next month.	Me mudo el mes que viene.
I am no longer a child.	Ya no soy un niño.
I am no longer a child.	Ya no soy un crío.
I am not proud of this.	No estoy orgulloso de esto.
I am not proud of this.	No estoy orgullosa de esto.
I am ready to help you.	Estoy listo para ayudarle.
I am sixteen years old.	Tengo dieciséis años.
I am suspicious of him.	Yo sospecho de él.
I am swamped with work.	Estoy empantanado con el trabajo.
I am taking a bath now.	Ahora me estoy dando un baño.
I am tidying my office.	Estoy ordenando mi oficina.
I am tired of the work.	Estoy harto de ese trabajo.
I'm a Japanese teacher.	Soy profesor de japonés.
I'm a Japanese teacher.	Soy profesora de japonés.
I'm a little busy here.	Estoy un poco ocupado aquí.
I'm a little busy here.	Aquí ando un poco ocupado.
I'm a realistic person.	Soy un hombre realista.
I'm a realistic person.	Soy una persona realista.
I'm absolutely furious.	Estoy totalmente furioso.
I'm afraid of the dark.	Yo le temo a la oscuridad.
I'm afraid of the dark.	Le tengo miedo a la oscuridad.
I'm afraid to go alone.	Tengo miedo de ir solo.
I'm afraid to go alone.	Tengo miedo de ir sola.
I'm allergic to gluten.	Soy alérgica al gluten.
I'm allowing you to go.	Te autorizo a irte.
I'm angry at everybody.	Estoy enfadado con todo el mundo.
I'm angry at everybody.	Estoy disgustado con todos.
I'm anxious to see you.	Estoy impaciente por verte.
I'm anxious to see you.	Estoy ansioso de verte.
I'm applying for a job.	Estoy solicitando un empleo.
I'm ashamed of my body.	Me avergüenza mi cuerpo.
I'm ashamed of my body.	Me avergüenzo de mi cuerpo.
I'm becoming forgetful.	Me estoy volviendo despistado.
I'm busy at the moment.	En este momento estoy ocupado.
I'm busy at the moment.	De momento estoy ocupado.
I'm busy with homework.	Estoy ocupado con mi tarea.
I'm doing this for him.	Lo estoy haciendo por él.
I'm doing this for you.	Hago esto por ti.
I'm dying to see Paris.	Me muero de ganas de ver París.
I'm expecting visitors.	Estoy esperando visitas.
I'm fascinated by cats.	Los gatos me fascinan.
I'm glad you were here.	Me alegro de que estuvieras aquí.
I'm glad you're coming.	Me alegra que vengas.
I'm glad you're coming.	Me alegro de que vengas.
I'm going to Australia.	Voy a ir a Australia.
I'm going to a meeting.	Voy a una reunión.
I'm going to leave you.	Voy a dejarte.
I'm going to stop them.	Los voy a detener.
I'm going to work here.	Voy a trabajar aquí.
I'm happy Tom liked it.	Me alegra que a Tom le gustó.
I'm happy Tom liked it.	Me alegra que a Tom le haya gustado.
I'm happy to cooperate.	Estoy feliz de cooperar.
I'm happy you liked it.	Me alegro de que te haya gustado.
I'm happy you're happy.	Estoy feliz de que estés feliz.
I'm here for a meeting.	Estoy aquí para una reunión.
I'm honored to be here.	Me siento honrado de estar aquí.
I'm hungry and thirsty.	Estoy hambriento y sediento.
I'm hungry and thirsty.	Estoy hambrienta y sedienta.
I'm in the tennis club.	Estoy en el club de tenis.
I'm just doing my best.	Solo estoy haciendo lo mejor que puedo.
I'm lactose intolerant.	Soy intolerante a la lactosa de la leche.
I'm leaving for Boston.	Me voy a Boston.
I'm listening to music.	Estoy escuchando música.
I'm living in the city.	Estoy viviendo en la ciudad.
I'm looking for my key.	Estoy buscando mi llave.
I'm losing my patience.	Estoy perdiendo la paciencia.
I'm not afraid of work.	No me asusta el trabajo.
I'm not afraid of work.	El trabajo no me da miedo.
I'm not as busy as Tom.	No estoy tan ocupado como Tom.
I'm not as rich as Tom.	No soy tan rico como Tom.
I'm not as tall as you.	No soy tan alto como tú.
I'm not blaming anyone.	No estoy culpando a nadie.
I'm not doing anything.	No estoy haciendo nada.
I'm not going anywhere.	No voy a ninguna parte.
I'm not good at French.	No soy bueno para el francés.
I'm not good with kids.	No soy bueno con los niños.
I'm not hungry anymore.	Ya no tengo hambre.
I'm not quite sure yet.	Aún no estoy tan seguro.
I'm not ready for that.	Yo no estoy dispuesto a eso.
I'm not sure I'm ready.	No estoy seguro de estar preparado.
I'm not sure I'm ready.	No estoy segura de estar preparada.
I'm not sure right now.	Ahora mismo no estoy seguro.
I'm not talking to you.	No te estoy hablando a vos.
I'm not very organized.	No soy muy organizado.
I'm pleased to see you.	Me alegra verte.
I'm proud of my school.	Estoy orgulloso de mi colegio.
I'm quite sure of that.	Estoy bastante seguro de eso.
I'm ready for anything.	Estoy preparado para todo.
I'm ready for anything.	Estoy preparada para todo.
I'm ready to leave now.	Ahora estoy preparado para irme.
I'm ready when you are.	Estoy listo cuando tú lo estés.
I'm really tired today.	Hoy día estoy realmente cansado.
I'm sending you a book.	Te mando un libro.
I'm sick of hearing it.	Estoy harto de oírlo.
I'm sorry for the mess.	Lamento el desorden.
I'm sorry to hear that.	Lamento oír eso.
I'm still on the fence.	No me he decidido todavía.
I'm sure you knew that.	Estoy seguro de que sabías eso.
I'm there all the time.	Estoy ahí todo el tiempo.
I'm thinking about you.	Estoy pensando en ti.
I'm thinking about you.	Pienso en ustedes.
I'm trying to be happy.	Estoy tratando de ser feliz.
I'm trying to help you.	Te estoy tratando de ayudar.
I'm trying to meditate.	Estoy intentando meditar.
I'm trying to remember.	Estoy intentando recordar.
I'm trying to remember.	Estoy intentando acordarme.
I'm trying to remember.	Me estoy intentando acordar.
I'm waiting to see Tom.	Estoy esperando para ver a Tom.
I'm walking beside her.	Camino junto a ella.
I'm washing the dishes.	Estoy lavando los platos.
I'm wearing sunglasses.	Llevo puestas gafas de sol.
I'm worried about them.	Me preocupo por ellas.
I'm worried about them.	Me preocupo por ellos.
I'm younger than he is.	Yo soy menor que él.
I'm your new assistant.	Soy su nueva asistente.
She is a famous singer.	Es una cantante famosa.
She is a gifted artist.	Es una artista muy talentosa.
She is a selfish woman.	Ella es una mujer egoísta.
She is a wealthy woman.	Ella es una mujer rica.
She is afraid of death.	Le tiene miedo a la muerte.
She is already married.	Ella ya está casada.
She is always cheerful.	Ella siempre está contenta.
She is cooking for him.	Ella está cocinando para él.
She is fit for the job.	Ella es apropiada para ese trabajo.
She is fond of animals.	A ella le gustan los animales.
She is fond of animals.	Le encantan los animales.
She is great at skiing.	Ella es buena esquiando.
She is guilty of fraud.	Ella es culpable de fraude.
She is his real mother.	Ella es su madre real.
She is his real mother.	Ella es su verdadera madre.
She is in need of help.	Ella necesita ayuda.
She is in the bathroom.	Está en el cuarto de baño.
She is now on vacation.	Por el momento ella está de vacaciones.
She is used to cooking.	Está acostumbrada a cocinar.
She is very kind to us.	Ella es muy amable con nosotros.
She is very kind to us.	Ella es muy amable con nosotras.
She is wiser than I am.	Ella es más sabia que yo.
She is younger than me.	Ella es más joven que yo.
She's a glamorous girl.	Ella es una niña glamorosa.
She's an individualist.	Ella es una individualista.
She's at the hotel now.	Ella está en el hotel ahora.
She's at the hotel now.	Ella se encuentra en el hotel ahora.
She's at the hotel now.	Ahora está en el hotel.
She's learning to swim.	Ella está aprendiendo a nadar.
She's lost her car key.	Ella perdió las llaves de su coche.
She's smarter than him.	Ella es más inteligente que él.
She's younger than him.	Ella es más joven que él.
They are great friends.	Son grandes amigos.
They are having a chat.	Ellos están teniendo una charla.
They are my classmates.	Son mis compañeros de clase.
They are taking a walk.	Ellos están paseando.
They are very cheerful.	Ellos son muy optimistas.
They are very far away.	Están muy lejos.
They're about to leave.	Ellos están por partir.
They're about to leave.	Están a punto de irse.
They're about to start.	Están por empezar.
They're always careful.	Ellas siempre son cuidadosas.
They're digging a hole.	Ellos cavan un agujero.
They're digging a hole.	Están cavando un agujero.
They're doing it right.	Ellos lo están haciendo bien.
They're doing it right.	Ellas lo están haciendo bien.
They're late, as usual.	Ellos vienen atrasados, como siempre.
They're late, as usual.	Llegan tarde, como siempre.
They're looking for it.	Lo están buscando.
They're surrounding us.	Nos tienen rodeados.
They're trying to help.	Están tratando de ayudar.
They're very dangerous.	Ellos son muy peligrosos.
They're waiting for us.	Nos están esperando.
We are a perfect match.	Somos la pareja perfecta.
We are afraid of death.	Tenemos miedo a la muerte.
We are learning Arabic.	Nosotros estamos aprendiendo árabe.
We are working for you.	Estamos trabajando para usted.
We're a married couple.	Somos una pareja de casados.
We're all in agreement.	Estamos todos de acuerdo.
We're all proud of you.	Todos estamos orgullosos de ti.
We're all sick of this.	Todos estamos hartos de esto.
We're all very excited.	Todos estamos muy emocionados.
We're going to the bar.	Nos vamos al boliche.
We're happy to be here.	Estamos felices de estar aquí.
We're having breakfast.	Estamos desayunando.
We're here to have fun.	Estamos aquí para divertirnos.
We're here to help you.	Estamos aquí para ayudaros.
We're here to help you.	Estamos aquí para ayudarte.
We're in a blind alley.	Estamos en un callejón sin salida.
We're in no danger now.	Ahora no estamos en situación de peligro.
We're in the same boat.	Estamos en el mismo bote.
We're in the same boat.	Nosotros compartimos el mismo destino.
We're investigating it.	Lo estamos investigando.
We're just catching up.	Nosotros ahora lo estamos alcanzando.
We're not the bad guys.	No somos los malos de la película.
We're not your enemies.	No somos tus enemigos.
We're on our honeymoon.	Estamos de luna de miel.
We're quieter than Tom.	Estamos más tranquilos que Tom.
We're ready to move on.	Estamos listos para continuar.
We're so happy for you.	Nos alegramos mucho por ti.
We're very discouraged.	Estamos muy desanimados.
We're watching a movie.	Estamos viendo una película.
We're working together.	Estamos trabajando juntos.
You are a good student.	Eres un buen estudiante.
You are always welcome.	Usted es siempre bienvenido.
You are always welcome.	Tú siempre eres bienvenido.
You are better than me.	Eres mejor que yo.
You are free to go out.	Eres libre de irte.
You are hearing things.	Estás oyendo cosas.
You are making history.	Estás haciendo historia.
You are making history.	Están haciendo historia.
You are my best friend.	Eres mi mejor amigo.
You are not our friend.	No eres nuestra amiga.
You are probably wrong.	Es probable que estés equivocada.
You are probably wrong.	Es probable que estés equivocado.
You are right in a way.	En cierto sentido, tienes razón.
You are taller than me.	Eres más alto que yo.
You are the chosen one.	Eres el elegido.
You are the chosen one.	Eres la elegida.
You are very beautiful.	Eres muy guapa.
You are very beautiful.	Estás muy guapa.
You are very beautiful.	Eres muy bonita.
You are very beautiful.	Eres bellísima.
You are very beautiful.	Eres hermosísima.
You're Canadian, right?	Eres canadiense, ¿verdad?
You're a bad influence.	Sos una mala influencia.
You're a terrible cook.	Eres un pésimo cocinero.
You're a terrible cook.	Eres una pésima cocinera.
You're a terrible liar.	Eres pésimo para mentir.
You're cuter than Mary.	Eres más mona que Mary.
You're cuter than Mary.	Estás más buena que Mary.
You're driving me nuts.	Me estás volviendo loco.
You're embarrassing me.	Me estás avergonzando.
You're gonna love this.	Te va a encantar esto.
You're interrupting me.	Me estás interrumpiendo.
You're making me blush.	Me haces sonrojar.
You're making progress.	Estás progresando.
You're never satisfied.	Jamás estás satisfecho.
You're not bad at this.	No se te da mal esto.
You're not fast enough.	No eres lo bastante rápido.
You're not fast enough.	No sois suficientemente veloces.
You're not needed here.	No haces falta aquí.
You're not responsible.	No sos responsable.
You're perfectly right.	Tienes toda la razón.
You're ruining my life.	Me estás arruinando la vida.
You're the expert, Tom.	Tú eres el experto, Tom.
You're the expert, Tom.	Eres tú el experto, Tom.
You're the tallest one.	Tú eres la más alta.
You're very attractive.	Sos muy atractivo.
You're very perceptive.	Eres muy perspicaz.
You're worse than I am.	Sos peor que yo.
He is Japanese by birth.	Él es japonés de nacimiento.
He is a baseball player.	Es jugador de béisbol.
He is a friendly person.	Él es una persona simpática.
He is a great scientist.	Él es un gran científico.
He is a pleasant person.	Es una persona agradable.
He is afraid of the dog.	Él le tiene miedo al perro.
He is as poor as can be.	Él es pobre como pocos.
He is as poor as can be.	Él es pobre entre pobres.
He is as poor as can be.	Él es extremadamente pobre.
He is as strong as ever.	Está tan vigoroso como siempre.
He is drawing a picture.	Está haciendo un dibujo.
He is eager to go there.	Está ansioso por ir.
He is equal to the task.	Él puede con la tarea.
He is fluent in Chinese.	Él habla chino fluido.
He is fond of adventure.	Le gustan las aventuras.
He is going to help you.	Él te va a ayudar.
He is hated by everyone.	Él es odiado por todos.
He is hated by everyone.	Él es detestado por todos.
He is hated by everyone.	Todos lo odian.
He is known to everyone.	Él es conocido por todos.
He is looking for a job.	Él está buscando empleo.
He is looking for a job.	Él está buscando trabajo.
He is loyal to his boss.	Él es leal a su jefe.
He is lying on the sofa.	Él está tumbado en el sofá.
He is no friend of mine.	Él no es amigo mío.
He is no longer a child.	Él ya no es un niño.
He is no stranger to me.	Para mí, él no es un extraño.
He is not a good person.	Él no es una buena persona.
He is not a good person.	No es una buena persona.
He is not from Hokkaido.	Él no es de Hokkaido.
He is not honest at all.	Él no es nada honesto.
He is not wearing a hat.	Él no lleva puesto un sombrero.
He is on board the ship.	Él está a bordo del barco.
He is putting on weight.	Él está engordando.
He is short, but strong.	Él es bajo, pero fuerte.
He is still on his back.	Él aún está en cama.
He is strong as a horse.	Él es fuerte como un toro.
He is tall and handsome.	Es alto y guapo.
He is used to hard work.	Está acostumbrado a trabajar duro.
He is used to traveling.	Él está acostumbrado a viajar.
He is very good-looking.	Él es muy guapo.
He's a Chinese-American.	Él es sinoamericano.
He's a citizen of China.	Él es un ciudadano de China.
He's a friend from work.	Es un amigo del trabajo.
He's a lovely young man.	Es un muchacho encantador.
He's a man we can trust.	Él es un hombre en el que podemos confiar.
He's a very hard worker.	Es muy trabajador.
He's always complaining.	Siempre se está quejando.
He's an Italian teacher.	Él es profesor de italiano.
He's crazy about soccer.	Él está loco por el fútbol.
He's everybody's friend.	Él es amigo de todos.
He's fluent in Japanese.	Él habla fluidamente el japonés.
He's going to love this.	Le va a encantar esto.
He's going to love this.	A él le va a encantar esto.
He's hopelessly in love.	Está perdidamente enamorado.
He's hungry and thirsty.	Él está hambriento y sediento.
He's in the other truck.	Él está en el otro camión.
He's mumbling something.	Él está murmurando algo.
He's my younger brother.	Él es mi hermano pequeño.
He's my younger brother.	Él es mi hermano menor.
He's painting his house.	Él está pintando su casa.
He's rotten to the core.	Él está podrido hasta la médula.
He's too young to drink.	Él es muy joven para beber.
He's very understanding.	Él es muy comprensivo.
He's writing a book now.	Ahora está escribiendo un libro.
I am an English teacher.	Soy profesor de inglés.
I am an English teacher.	Soy maestro de inglés.
I am an English teacher.	Soy maestra de inglés.
I am an English teacher.	Soy profesora de inglés.
I am as happy as a clam.	Soy tan feliz como una lombriz.
I am calling my brother.	Estoy llamando a mi hermano.
I am disgusted with him.	Estoy disgustada con él.
I am disgusted with you.	Estoy indignado contigo.
I am eighteen years old.	Tengo dieciocho años.
I am following that car.	Estoy siguiendo a ese auto.
I am immune to smallpox.	Soy inmune a la viruela.
I am loved by my mother.	Mi madre me ama.
I am not going anywhere.	No voy a ninguna parte.
I am not good at sports.	No se me dan bien los deportes.
I am painting my garage.	Estoy pintando mi cochera.
I am pleased to see you.	Me alegra verte.
I am reading a book now.	Ahora estoy leyendo un libro.
I am reading a magazine.	Estoy leyendo una revista.
I am reading a magazine.	Leo una revista.
I am sorry to hear that.	Lamento oír eso.
I am trying to help him.	Estoy tratando de ayudarlo.
I am writing an article.	Estoy escribiendo un artículo.
I'm Tom's new secretary.	Soy la nueva secretaria de Tom.
I'm a little bit hungry.	Tengo un poco de hambre.
I'm a little bit hungry.	Tengo un poquito de hambre.
I'm a volleyball player.	Soy jugador de voleibol.
I'm able to read French.	Puedo leer en francés.
I'm actually very happy.	En realidad estoy muy feliz.
I'm afraid for his life.	Estoy preocupado por su vida.
I'm afraid it will rain.	Me temo que va a llover.
I'm afraid it will rain.	Temo que lloverá.
I'm afraid of hospitals.	Le tengo miedo a los hospitales.
I'm allergic to peanuts.	Soy alérgico a los cacahuates.
I'm allergic to peanuts.	Soy alérgica a los cacahuates.
I'm allergic to peanuts.	Soy alérgica a los cacahuetes.
I'm allergic to peanuts.	Soy alérgico a los cacahuetes.
I'm allergic to seafood.	Soy alérgico a los mariscos.
I'm allergic to seafood.	Soy alérgica a los mariscos.
I'm always under stress.	Siempre estoy bajo estrés.
I'm always very nervous.	Siempre estoy muy nervioso.
I'm amazed at his nerve.	Me admira su descaro.
I'm an American citizen.	Soy ciudadano estadounidense.
I'm anxious to meet her.	Estoy ansioso de conocerla.
I'm as strong as before.	Soy tan fuerte como antes.
I'm at a loss for words.	No tengo palabras.
I'm aware of the danger.	Estoy consciente del peligro.
I'm busy, so I can't go.	Estoy ocupado, así que no puedo ir.
I'm certain he's coming.	Tengo la certeza de que vendrá.
I'm comfortable with it.	Estoy cómodo con esto.
I'm coming back tonight.	Vuelvo esta noche.
I'm coming to the hotel.	Voy camino al hotel.
I'm completely confused.	Estoy completamente confundida.
I'm concerned about Tom.	Estoy preocupado por Tom.
I'm crossing my fingers.	Estoy cruzando mis dedos.
I'm dead if I stay here.	Estoy muerto si me quedo aquí.
I'm done with my chores.	Estoy listo con mis tareas.
I'm exhausted right now.	Estoy exhausto ahora mismo.
I'm extremely confident.	Estoy extremadamente confiado.
I'm faithful to my wife.	Soy fiel a mi esposa.
I'm fed up with English.	Estoy harto del inglés.
I'm fed up with English.	Estoy harta del inglés.
I'm feeling really good.	Me siento realmente bien.
I'm from the West Coast.	Soy de la costa oeste.
I'm getting a big raise.	Me van a dar un gran aumento.
I'm getting a big raise.	Me van a subir harto el sueldo.
I'm glad that's settled.	Me alegro de que esté resuelto.
I'm glad you asked that.	Me alegro que me hagas esa pregunta.
I'm glad you asked that.	Me alegro que me haga esa pregunta.
I'm glad you could come.	Me alegro que pudieras venir.
I'm glad you dropped by.	Me alegra que hayas pasado a verme.
I'm glad you enjoyed it.	Me alegro que lo disfrutaras.
I'm glad you were there.	Me alegra que estuvieras allí.
I'm going back to sleep.	Me devuelvo a dormir.
I'm going straight home.	Me voy derecho para la casa.
I'm going to enjoy this.	Me voy a divertir con esto.
I'm going to follow Tom.	Voy a seguir a Tom.
I'm going to sleep here.	Voy a dormir acá.
I'm going to take a nap.	Voy a echarme la siesta.
I'm going up the stairs.	Subo las escaleras.
I'm good at mathematics.	Soy bueno para las matemáticas.
I'm good at mathematics.	Se me dan bien las matemáticas.
I'm happy and satisfied.	Estoy feliz y satisfecho.
I'm having a rough week.	Estoy teniendo una semana difícil.
I'm having difficulties.	Estoy teniendo dificultades.
I'm here to protect you.	Estoy aquí para protegerte.
I'm here to protect you.	Estoy aquí para protegeros.
I'm in a bad mood today.	Hoy estoy de mal humor.
I'm kind of hungry, too.	La verdad es que yo también tengo apetito.
I'm kind of hungry, too.	Pues yo también tengo hambre.
I'm kind of sleepy, too.	La verdad es que yo también tengo sueño.
I'm kind of sleepy, too.	Pues yo también tengo sueño.
I'm learning French now.	Estoy aprendiendo francés ahora.
I'm learning German now.	Ahora estoy aprendiendo alemán.
I'm looking for a house.	Estoy buscando una casa.
I'm looking for my keys.	Estoy buscando mis llaves.
I'm looking for someone.	Estoy buscando a alguien.
I'm nervous and excited.	Estoy nerviosa y emocionada.
I'm nervous and excited.	Estoy ansioso y emocionado.
I'm not afraid of death.	Yo no le temo a la muerte.
I'm not afraid of death.	No le temo a la muerte.
I'm not as lucky as you.	No tengo tanta suerte como tú.
I'm not blaming anybody.	No estoy culpando a nadie.
I'm not easily offended.	No me ofendo fácilmente.
I'm not from this world.	No soy de este mundo.
I'm not good at Russian.	No soy bueno para el ruso.
I'm not good at Russian.	Soy de madera en ruso.
I'm not hiding anything.	No estoy ocultando nada.
I'm not home on Sundays.	No estoy en casa los domingos.
I'm not married, either.	Yo tampoco estoy casado.
I'm not really sure why.	En realidad no estoy seguro por qué.
I'm not working for Tom.	No trabajo para Tom.
I'm not your girlfriend.	No soy tu novia.
I'm now learning French.	Ahora estoy estudiando francés.
I'm on the eighth floor.	Estoy en el octavo piso.
I'm on top of the world.	Estoy en la cima del mundo.
I'm only trying to help.	Solo estoy intentando ayudar.
I'm playing with my cat.	Estoy jugando con mi gato.
I'm pleased to meet you.	Encantada de conocerlo.
I'm pleased to meet you.	Encantado de conocerle.
I'm proud of my brother.	Estoy orgulloso de mi hermano.
I'm repairing the house.	Estoy reparando la casa.
I'm resigning on Monday.	Voy a dimitir el lunes.
I'm seeing them tonight.	Los voy a ver esta noche.
I'm sick of eating fish.	Estoy harta de comer pescado.
I'm simply doing my job.	Estoy simplemente haciendo mi trabajo.
I'm so proud of my team.	Estoy tan orgulloso de mi equipo.
I'm so sick of all this.	Estoy tan cansado de todo esto.
I'm sorry I was so rude.	Lamento haber sido tan rudo.
I'm sorry I woke you up.	Lamento haberte despertado.
I'm studying French now.	Estoy estudiando francés ahora.
I'm sure Tom means well.	Estoy segura de que Tom tiene buenas intenciones.
I'm sure Tom misses you.	Estoy seguro que Tom te extraña.
I'm sure Tom won't mind.	Estoy seguro de que a Tom no le importará.
I'm sure it can be done.	Estoy seguro de que se puede hacer.
I'm sure of his success.	Estoy seguro de que él tendrá éxito.
I'm sure you'll like it.	Estoy seguro de que te va a gustar.
I'm too busy to see Tom.	Estoy demasiado ocupado como para ver a Tom.
I'm too sleepy to drive.	Tengo mucho sueño para conducir.
I'm trying to apologize.	Estoy intentado disculparme.
I'm used to being tired.	Estoy acostumbrada a estar cansada.
I'm very busy this week.	Estoy muy ocupado esta semana.
I'm very short of money.	Estoy muy corto de dinero.
I'm very short of money.	Tengo poco dinero.
I'm very short of money.	Estoy corto de dinero.
I'm waiting for a train.	Estoy esperando un tren.
I'm waiting for the bus.	Estoy esperando el colectivo.
She is a friend of mine.	Ella es una de mis amigas.
She is a friend of mine.	Ella es amiga mía.
She is a friend of mine.	Es una amiga mía.
She is a serious person.	Ella es una persona seria.
She is a stranger to me.	Ella es una extraña para mí.
She is a stranger to me.	Para mí es una extraña.
She is a very kind girl.	Ella es una chica muy gentil.
She is a very kind girl.	Ella es una chica muy amable.
She is a wonderful wife.	Ella es una esposa maravillosa.
She is an educated girl.	Ella es una niña educada.
She is as young as I am.	Ella es tan joven como yo.
She is bathing the baby.	Ella le está dando un baño a la bebé.
She is bathing the baby.	Ella está bañando al bebé.
She is blackmailing him.	Ella está chantajeándole.
She is down with a cold.	Ella está en cama por un resfriado.
She is dressed in white.	Ella está vestida de blanco.
She is in an awful mood.	Ella está de pésimo humor.
She is in love with him.	Ella está enamorada de él.
She is listening to him.	Ella le está escuchando.
She is out on an errand.	Ella salió a hacer un mandado.
She is proud of her son.	Ella está orgullosa de su hijo.
She is shy of strangers.	Ella es tímida con los extraños.
She is very hardworking.	Ella está trabajando muy duro.
She is very intelligent.	Ella es muy inteligente.
She is wearing a brooch.	Ella lleva puesto un broche.
She's heating the water.	Ella está calentando el agua.
She's lost her car keys.	Ella perdió las llaves de su coche.
She's not a good person.	Ella no es una buena persona.
She's not a good person.	No es una buena persona.
She's not my girlfriend.	Ella no es mi novia.
She's not young, is she?	Ella no es joven, ¿verdad?
She's unfit for the job.	Ella es inadecuada para el trabajo.
They are about to start.	Ellos están por empezar.
They are all very happy.	Todos ellos son muy felices.
They are bitter enemies.	Ellos son terribles enemigos.
They are gathering nuts.	Ellos están recogiendo nueces.
They are in the kitchen.	Ellos están en la cocina.
They are making a salad.	Ellos preparan una ensalada.
They are my old friends.	Ellos son mis viejos amigos.
